image_number,sheet_url,label_url
41537, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a224371594d90026625bb92, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61acd7a04c000e8d85cc
39072, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223fd6594d90026625b9fe, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61ace08e9b00109b0a94
38489, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223f6d6c613b0278255408, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61acd7a04c000f8d293a
40450, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2241f99ad5a10270ed1535, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61acd7a04c000f8d293f
42399, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2244e9594d90026525a021, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61afd7a04c000e8d85d5
41982, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a224417594d90026425a990, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b0e08e9b000d9ba8ea
41763, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2243bf6c613b02782555a7, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b0d7a04c000d8d1dbc
40684, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2241f89ad5a10271ecf2fe, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b1d7a04c000d8d1dc1
41053, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2242c86c613b0279254af5, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b1e08e9b00109b0a98
43110, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22453a594d90026325a566, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b3d7a04c00108d08dc
41972, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22440c9ad5a10270ed1612, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b3e08e9b000f9b1a08
40587, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2241e29ad5a1026fece9c9, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b3d7a04c000e8d85e1
39353, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2240259ad5a1026fece923, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b4d7a04c00108d08df
40956, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22424e6c613b0279254abd, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b5e08e9b000d9ba8f2
38440, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223f37b83f690265bf350d, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b6e08e9b00109b0aa0
39736, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22406e594d900265259e81, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b6d7a04c000f8d294a
42127, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2244799ad5a10270ed1635, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b7d7a04c000f8d294d
37730, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223e87594d90026625b972, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b8d7a04c000e8d85eb
39795, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2240c29ad5a10270ed14ad, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b9e08e9b00109b0aa5
41027, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2242b69ad5a1026fecea0c, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61b9d7a04c000f8d2952
